make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,5997 mm,1996 mm,2825 mm,,,,2385 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,100,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2670 mm,,,,2535 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,100,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Iveco,Iveco Daily,fuel engine,2012,2012,,,"4-doors, van",,,7012 mm,1996 mm,2860 mm,,,,2565 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"95,8 x 104,0 mm",,100,,,,,front,"95,8 x 104,0 mm",,,6 speed manual transmission,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,leaf springs,,,coil springs,,,,4-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1820 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,250,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,8 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1820 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,250,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,8 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1820 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,250,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,8 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1820 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,250,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,8 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1861 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,280,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,5 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1861 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 89,0 mm",,280,,,,,front+rear,"84,5 x 89,0 mm",,,8 speed automatic,n.b.,,209 g/km,,"5,5 s",250 km/h,"12,2 l/100km",209 g/km,,"8,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1665 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,129 g/km,,"8,9 s",209 km/h,"5,7 l/100km",129 g/km,,"4,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1665 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,129 g/km,,"8,9 s",209 km/h,"5,7 l/100km",129 g/km,,"4,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1665 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,129 g/km,,"8,9 s",209 km/h,"5,7 l/100km",129 g/km,,"4,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1665 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,129 g/km,,"8,9 s",209 km/h,"5,7 l/100km",129 g/km,,"4,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1767 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"8,7 s",208 km/h,"6,0 l/100km",134 g/km,,"5,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,8 speed automatic,"7,3 l/100km (1)",,139 g/km,,"8,7 s",208 km/h,- l/100km,139 g/km,,"5,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1767 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"8,7 s",208 km/h,"6,0 l/100km",134 g/km,,"5,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,8 speed automatic,"7,3 l/100km (1)",,139 g/km,,"8,7 s",208 km/h,- l/100km,139 g/km,,"5,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1767 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"8,7 s",208 km/h,"6,0 l/100km",134 g/km,,"5,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,8 speed automatic,"7,3 l/100km (1)",,139 g/km,,"8,7 s",208 km/h,- l/100km,139 g/km,,"5,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1767 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"8,7 s",208 km/h,"6,0 l/100km",134 g/km,,"5,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,5 mm",,132,,,,,front+rear,"83,0 x 92,5 mm",,,8 speed automatic,"7,3 l/100km (1)",,139 g/km,,"8,7 s",208 km/h,- l/100km,139 g/km,,"5,9 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1884 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,221,,,,,front+rear,"84,0 x 90,0 mm",,,8 speed automatic,n.b.,,159 g/km,,"6,2 s",241 km/h,- l/100km,159 g/km,,"6,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1884 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,221,,,,,front+rear,"84,0 x 90,0 mm",,,8 speed automatic,n.b.,,159 g/km,,"6,2 s",241 km/h,- l/100km,159 g/km,,"6,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1884 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,221,,,,,front+rear,"84,0 x 90,0 mm",,,8 speed automatic,n.b.,,159 g/km,,"6,2 s",241 km/h,- l/100km,159 g/km,,"6,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1884 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,221,,,,,front+rear,"84,0 x 90,0 mm",,,8 speed automatic,n.b.,,159 g/km,,"6,2 s",241 km/h,- l/100km,159 g/km,,"6,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jaguar,Jaguar F-Pace,fuel engine,2015,2015,,,"5-doors, suv/crossover",,,4731 mm,1936 mm,1652 mm,,,,1884 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,221,,,,,front+rear,"84,0 x 90,0 mm",,,8 speed automatic,n.b.,,159 g/km,,"6,2 s",241 km/h,"6,9 l/100km",159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1295 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"72,0 x 84,0 mm",,103,,,,,front,"72,0 x 84,0 mm",,,6 speed manual transmission,n.b.,,141 g/km,,"10,9 s",181 km/h,"7,6 l/100km",141 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1295 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"72,0 x 84,0 mm",,103,,,,,front,"72,0 x 84,0 mm",,,6 speed manual transmission,n.b.,,140 g/km,,"10,9 s",181 km/h,"7,6 l/100km",140 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1295 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"72,0 x 84,0 mm",,103,,,,,front,"72,0 x 84,0 mm",,,6 speed manual transmission,n.b.,,140 g/km,,"10,9 s",181 km/h,"7,6 l/100km",140 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1295 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"72,0 x 84,0 mm",,103,,,,,front,"72,0 x 84,0 mm",,,6 speed manual transmission,n.b.,,141 g/km,,"10,9 s",181 km/h,"7,6 l/100km",141 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1365 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"79,5 x 80,5 mm",,88,,,,,front,"79,5 x 80,5 mm",,,6 speed manual transmission,n.b.,,115 g/km,,"10,2 s",178 km/h,"5,1 l/100km",115 g/km,,"4,4 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1365 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"79,5 x 80,5 mm",,88,,,,,front,"79,5 x 80,5 mm",,,6 speed manual transmission,n.b.,,115 g/km,,"10,2 s",178 km/h,"5,1 l/100km",115 g/km,,"4,4 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1365 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"79,5 x 80,5 mm",,88,,,,,front,"79,5 x 80,5 mm",,,6 speed manual transmission,n.b.,,115 g/km,,"10,2 s",178 km/h,"5,1 l/100km",115 g/km,,"4,4 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1365 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"79,5 x 80,5 mm",,88,,,,,front,"79,5 x 80,5 mm",,,6 speed manual transmission,n.b.,,120 g/km,,"10,9 s",181 km/h,"5,5 l/100km",120 g/km,,"4,6 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1405 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 90,4 mm",,103,,,,,front+rear,"83,0 x 90,4 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"9,5 s",182 km/h,"6,0 l/100km",134 g/km,,"5,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1405 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 90,4 mm",,103,,,,,front+rear,"83,0 x 90,4 mm",,,6 speed manual transmission,n.b.,,134 g/km,,"9,5 s",182 km/h,"6,0 l/100km",134 g/km,,"5,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4255 mm,1805 mm,1667 mm,,,,1505 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 90,4 mm",,103,,,,,front+rear,"83,0 x 90,4 mm",,,9 speed automatic,n.b.,,150 g/km,,"10,2 s",182 km/h,"6,7 l/100km",150 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Jeep,Jeep Renegade,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4259 mm,1805 mm,1697 mm,,,,1510 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 90,4 mm",,125,,,,,front+rear,"83,0 x 90,4 mm",,,9 speed automatic,n.b.,,151 g/km,,"8,9 s",190 km/h,"6,9 l/100km",151 g/km,,"5,8 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Josse,Josse Indigo 3000,fuel engine,1998,1998,,,"2-doors, convertible",,,4300 mm,1760 mm,1140 mm,,,,1000 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 90,0 mm",,150,,,,,rear,"83,0 x 90,0 mm",,,5 speed manual transmission,n.b.,,263 g/km,,"6,5 s",250 km/h,- l/100km,263 g/km,,"11,0 l/100km",leaf springs,,,leaf springs,,,,2-doors,,,,,
Kia,Kia e-Niro,electric motor,2019,2019,,,"5-doors, suv/crossover",,,4375 mm,1805 mm,1570 mm,,,,1712 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,150,,,,,front,,,,traploze automatic,,,0 g/km,,"7,8 s",167 km/h,,0 g/km,,,coil springs,,,coil springs,,,,5-doors,,,455 km,,
Kia,Kia e-Niro,electric motor,2019,2019,,,"5-doors, suv/crossover",,,4375 mm,1805 mm,1570 mm,,,,1712 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,150,,,,,front,,,,traploze automatic,,,0 g/km,,"7,8 s",167 km/h,,0 g/km,,,coil springs,,,coil springs,,,,5-doors,,,455 km,,
Lada,Lada Priora 2172,fuel engine,2010,2010,,,"5-doors, hatchback",,,4210 mm,1680 mm,1420 mm,,,,1103 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"82,0 x 75,6 mm",,72,,,,,front,"82,0 x 75,6 mm",,,5 speed manual transmission,n.b.,,154 g/km,,"11,5 s",183 km/h,"8,7 l/100km",154 g/km,,"6,3 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lamborghini,Lamborghini HuracÃ¡n,fuel engine,2014,2014,,,"2-doors, coupé",,,4459 mm,1924 mm,1165 mm,,,,1422 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,5 x 92,8 mm",,449,,,,,front+rear,"84,5 x 92,8 mm",,,7 speed automatic,n.b.,,280 g/km,,"3,2 s",325 km/h,"17,2 l/100km",280 g/km,,"12,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Lancia,Lancia Voyager,fuel engine,2011,2011,,,"5-doors, mpv",,,5218 mm,1998 mm,1750 mm,,,,1991 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"96,0 x 83,0 mm",,208,,,,,front,"96,0 x 83,0 mm",,,6 speed automatic,n.b.,,252 g/km,,"8,5 s",209 km/h,"15,8 l/100km",252 g/km,,"10,8 l/100km",leaf springs,,,coil springs,,,,5-doors,,,,,
Lancia,Lancia Voyager,fuel engine,2011,2011,,,"5-doors, mpv",,,5218 mm,1998 mm,1750 mm,,,,2142 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"94,0 x 100,0 mm",,120,,,,,front,"94,0 x 100,0 mm",,,6 speed automatic,n.b.,,207 g/km,,"11,9 s",193 km/h,"10,5 l/100km",207 g/km,,"7,9 l/100km",leaf springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1744 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,5 x 83,1 mm",,177,,,,,front+rear,"87,5 x 83,1 mm",,,9 speed automatic,n.b.,,191 g/km,,"8,2 s",199 km/h,- l/100km,191 g/km,,"8,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1759 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,5 x 83,1 mm",,177,,,,,front+rear,"87,5 x 83,1 mm",,,9 speed automatic,n.b.,,191 g/km,,"8,2 s",200 km/h,- l/100km,191 g/km,,"8,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1759 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,5 x 83,1 mm",,177,,,,,front+rear,"87,5 x 83,1 mm",,,9 speed automatic,n.b.,,191 g/km,,"8,2 s",200 km/h,- l/100km,191 g/km,,"8,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1759 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"87,5 x 83,1 mm",,177,,,,,front+rear,"87,5 x 83,1 mm",,,9 speed automatic,n.b.,,191 g/km,,"8,2 s",200 km/h,- l/100km,191 g/km,,"8,2 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1732 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,4 mm",,110,,,,,front,"83,0 x 92,4 mm",,,6 speed manual transmission,n.b.,,123 g/km,,"10,6 s",180 km/h,"5,5 l/100km",123 g/km,,"4,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1732 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,35 mm",,110,,,,,front,"83,0 x 92,35 mm",,,6 speed manual transmission,n.b.,,123 g/km,,"10,6 s",180 km/h,- l/100km,123 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1732 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,35 mm",,110,,,,,front,"83,0 x 92,35 mm",,,6 speed manual transmission,n.b.,,123 g/km,,"10,6 s",180 km/h,- l/100km,123 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1732 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 92,35 mm",,110,,,,,front,"83,0 x 92,35 mm",,,6 speed manual transmission,n.b.,,123 g/km,,"10,6 s",180 km/h,- l/100km,123 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1765 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,149 g/km,,"11,7 s",180 km/h,- l/100km,149 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,159 g/km,,"10,3 s",180 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1765 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,149 g/km,,"11,7 s",180 km/h,- l/100km,149 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,159 g/km,,"10,3 s",180 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1765 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,149 g/km,,"11,7 s",180 km/h,- l/100km,149 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
